year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_url,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2020,Jack Harvey,jack harvey,60,231.600,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,12,00:38.8601
2020,James Davison,james davison,51,229.766,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,26,00:39.1703
2020,James Hinchcliffe,james hinchcliffe,29,231.967,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,7,00:38.7987
2020,Josef Newgarden,josef newgarden,1,230.583,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,17,00:39.0315
2020,JR Hildebrand,jr hildebrand,67,228.275,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,30,00:39.4261
2020,Marco Andretti,marco andretti,98,233.491,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,1,00:38.5454
2020,Marcus Ericsson,marcus ericsson,8,231.763,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,10,00:38.8327
2020,Max Chilton,max chilton,59,227.610,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,32,00:39.5413
2020,Oliver Askew,oliver askew,7,230.507,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,19,00:39.0443
2020,Pato O'Ward,pato o ward,5,230.581,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,18,00:39.0318
2020,Rinus VeeKay,rinus veekay,21,230.331,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,21,00:39.0742
2020,Ryan Hunter-Reay,ryan hunter reay,28,232.124,NO_TOW_SINGLE_LAP,2,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,https://www.indycar.com/news/2020/08/08-14-Fast-Friday-Recap,r4/evidence/fast_friday/r4f6j/2020_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,CORE_DEVELOPMENT,Official editorial explicitly calls 232.124 mph the best lap of the day without an aerodynamic tow.,,
2020,Ryan Hunter-Reay,ryan hunter reay,28,232.124,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,4,00:38.7723
2020,Sage Karam,sage karam,24,228.187,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,31,00:39.4413
2020,Santino Ferrucci,santino ferrucci,18,230.154,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,23,00:39.1043
2020,Scott Dixon,scott dixon,9,232.290,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/5767/2020-08-14/indycar-results-p3.pdf,r4/evidence/fast_friday/r4f6j/2020_fast_friday_practice3_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,3,00:38.7446
