target,bin,n,mean_predicted_probability,observed_event_rate,calibration_gap_observed_minus_predicted,brier_score,mean_log_loss,small_sample_warning
IMPROVE_CURRENT,OVERALL,19,0.5786193233342365,0.7894736842105263,0.21085436087628984,0.24040831876729007,0.6639784000086089,True
IMPROVE_CURRENT,"[0.0,0.2]",1,0.16534273563844493,1.0,0.8346572643615551,0.6966527489515149,1.7997347737613703,True
IMPROVE_CURRENT,"[0.2,0.4]",4,0.3352646674610376,0.75,0.4147353325389624,0.372011716284668,0.9527833822639895,True
IMPROVE_CURRENT,"[0.4,0.6]",5,0.5012254061189387,0.8,0.2987745938810613,0.22905737998123166,0.65121021936001,True
IMPROVE_CURRENT,"[0.6,0.8]",6,0.6993936644502053,0.6666666666666666,-0.032726997783538714,0.20093569941644687,0.5858994726673431,True
IMPROVE_CURRENT,"[0.8,1.0]",3,0.9282922401906584,1.0,0.07170775980934163,0.010719115361161713,0.07775778818071015,True
CROSS_DECISION_TIME_BENCHMARK,OVERALL,19,0.4119056325935861,0.3684210526315789,-0.043484579962007164,0.14691703708773138,0.4531733420508283,True
CROSS_DECISION_TIME_BENCHMARK,"[0.0,0.2]",7,0.047659683604021,0.0,-0.047659683604021,0.005157497018802922,0.050464417202233,True
CROSS_DECISION_TIME_BENCHMARK,"[0.2,0.4]",4,0.26188046975590173,0.25,-0.011880469755901735,0.1944747535141118,0.5773453687203042,True
CROSS_DECISION_TIME_BENCHMARK,"[0.4,0.6]",1,0.5670833977307028,1.0,0.4329166022692972,0.18741678452039284,0.5672489001256599,True
CROSS_DECISION_TIME_BENCHMARK,"[0.6,0.8]",2,0.7168261339226509,1.0,0.28317386607734907,0.08210338932853503,0.33478979015725885,True
CROSS_DECISION_TIME_BENCHMARK,"[0.8,1.0]",5,0.8888663378900752,0.6,-0.2888663378900752,0.325159729660273,0.942166524645742,True
