model_version,regime,feasible_action,universe_action_rows,distribution_id,distribution_class,direct_queue_wait_observations,structural_support_point_count,mean_wait_minutes,median_wait_minutes,q05_wait_minutes,q95_wait_minutes,q95_minus_q05_minutes,support_level,weakly_supported,shared_prior_reason,completion_before_cutoff_status
R4F8F_WAIT_QUEUE_MODEL_V1,DAY1,STOP,50,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::STOP,DETERMINISTIC,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,DETERMINISTIC_RULE,False,NOT_APPLICABLE,NOT_APPLICABLE_NO_ATTEMPT
R4F8F_WAIT_QUEUE_MODEL_V1,DAY1,RETAIN_AND_REATTEMPT,50,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::RETAIN_AND_REATTEMPT,SHARED_STRUCTURAL_PRIOR,0,4,23.750000,15.000000,5.000000,45.000000,40.000000,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,True,ZERO_DIRECT_QUEUE_WAIT_PAIRS_AND_NO_DEFENSIBLE_ACTION_SPECIFIC_HISTORICAL_CALIBRATION,REQUIRES_LATER_SEPARATE_POLICY_AND_SESSION_REMAINING_INPUT
R4F8F_WAIT_QUEUE_MODEL_V1,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,50,R4F8F_WAIT_QUEUE_MODEL_V1::DAY1::WITHDRAW_AND_PRIORITY_REATTEMPT,SHARED_STRUCTURAL_PRIOR,0,4,23.750000,15.000000,5.000000,45.000000,40.000000,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,True,ZERO_DIRECT_QUEUE_WAIT_PAIRS_AND_NO_DEFENSIBLE_ACTION_SPECIFIC_HISTORICAL_CALIBRATION,REQUIRES_LATER_SEPARATE_POLICY_AND_SESSION_REMAINING_INPUT
R4F8F_WAIT_QUEUE_MODEL_V1,LAST_CHANCE,STOP,10,R4F8F_WAIT_QUEUE_MODEL_V1::LAST_CHANCE::STOP,DETERMINISTIC,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,DETERMINISTIC_RULE,False,NOT_APPLICABLE,NOT_APPLICABLE_NO_ATTEMPT
R4F8F_WAIT_QUEUE_MODEL_V1,LAST_CHANCE,REATTEMPT,4,R4F8F_WAIT_QUEUE_MODEL_V1::LAST_CHANCE::REATTEMPT,SHARED_STRUCTURAL_PRIOR,0,4,23.750000,15.000000,5.000000,45.000000,40.000000,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,True,ZERO_DIRECT_QUEUE_WAIT_PAIRS_AND_NO_DEFENSIBLE_ACTION_SPECIFIC_HISTORICAL_CALIBRATION,REQUIRES_LATER_SEPARATE_POLICY_AND_SESSION_REMAINING_INPUT
R4F8F_WAIT_QUEUE_MODEL_V1,LAST_CHANCE,WITHDRAW_AND_REATTEMPT,6,R4F8F_WAIT_QUEUE_MODEL_V1::LAST_CHANCE::WITHDRAW_AND_REATTEMPT,SHARED_STRUCTURAL_PRIOR,0,4,23.750000,15.000000,5.000000,45.000000,40.000000,WEAK_SHARED_STRUCTURAL_PRIOR_ZERO_DIRECT_WAIT_OBSERVATIONS,True,ZERO_DIRECT_QUEUE_WAIT_PAIRS_AND_NO_DEFENSIBLE_ACTION_SPECIFIC_HISTORICAL_CALIBRATION,REQUIRES_LATER_SEPARATE_POLICY_AND_SESSION_REMAINING_INPUT
