year,decision_episodes,high_value_replay_episodes,numeric_current_result_rows,numeric_bubble_reference_rows,session_end_bounded_rows,safe_for_action_policy_fit
2021,2,0,0,0,0,0
2023,3,1,0,3,1,0
2024,2,2,1,1,1,0
